,time,ecgpoint
377,2024-04-22 15:51:52.879+02,-1322
378,2024-04-22 15:51:52.883+02,-1304
379,2024-04-22 15:51:52.887+02,-1290
380,2024-04-22 15:51:52.891+02,-1276
381,2024-04-22 15:51:52.895+02,-1265
382,2024-04-22 15:51:52.899+02,-1253
383,2024-04-22 15:51:52.903+02,-1239
384,2024-04-22 15:51:52.907+02,-1227
385,2024-04-22 15:51:52.911+02,-1214
386,2024-04-22 15:51:52.915+02,-1199
387,2024-04-22 15:51:52.919+02,-1185
388,2024-04-22 15:51:52.923+02,-1168
389,2024-04-22 15:51:52.927+02,-1156
390,2024-04-22 15:51:52.931+02,-1148
391,2024-04-22 15:51:52.935+02,-1136
392,2024-04-22 15:51:52.939+02,-1124
393,2024-04-22 15:51:52.943+02,-1108
394,2024-04-22 15:51:52.947+02,-1098
395,2024-04-22 15:51:52.951+02,-1084
396,2024-04-22 15:51:52.955+02,-1072
397,2024-04-22 15:51:52.959+02,-1059
398,2024-04-22 15:51:52.963+02,-1044
399,2024-04-22 15:51:52.967+02,-1030
400,2024-04-22 15:51:52.971+02,-1018
401,2024-04-22 15:51:52.975+02,-1007
402,2024-04-22 15:51:52.979+02,-998
403,2024-04-22 15:51:52.983+02,-989
404,2024-04-22 15:51:52.987+02,-978
405,2024-04-22 15:51:52.991+02,-968
406,2024-04-22 15:51:52.995+02,-957
407,2024-04-22 15:51:52.999+02,-949
408,2024-04-22 15:51:53.003+02,-942
409,2024-04-22 15:51:53.007+02,-934
410,2024-04-22 15:51:53.011+02,-922
411,2024-04-22 15:51:53.015+02,-910
412,2024-04-22 15:51:53.019+02,-899
413,2024-04-22 15:51:53.023+02,-889
414,2024-04-22 15:51:53.027+02,-880
415,2024-04-22 15:51:53.031+02,-872
416,2024-04-22 15:51:53.035+02,-866
417,2024-04-22 15:51:53.039+02,-861
418,2024-04-22 15:51:53.043+02,-851
419,2024-04-22 15:51:53.047+02,-841
420,2024-04-22 15:51:53.051+02,-828
421,2024-04-22 15:51:53.055+02,-816
422,2024-04-22 15:51:53.059+02,-807
423,2024-04-22 15:51:53.063+02,-800
424,2024-04-22 15:51:53.067+02,-794
425,2024-04-22 15:51:53.071+02,-788
426,2024-04-22 15:51:53.075+02,-776
427,2024-04-22 15:51:53.079+02,-768
428,2024-04-22 15:51:53.083+02,-759
429,2024-04-22 15:51:53.087+02,-755
430,2024-04-22 15:51:53.091+02,-746
431,2024-04-22 15:51:53.095+02,-739
432,2024-04-22 15:51:53.099+02,-730
433,2024-04-22 15:51:53.103+02,-724
434,2024-04-22 15:51:53.107+02,-717
435,2024-04-22 15:51:53.111+02,-710
436,2024-04-22 15:51:53.115+02,-697
437,2024-04-22 15:51:53.119+02,-692
438,2024-04-22 15:51:53.123+02,-687
439,2024-04-22 15:51:53.127+02,-683
440,2024-04-22 15:51:53.131+02,-679
441,2024-04-22 15:51:53.135+02,-673
442,2024-04-22 15:51:53.139+02,-663
443,2024-04-22 15:51:53.143+02,-653
444,2024-04-22 15:51:53.147+02,-643
445,2024-04-22 15:51:53.151+02,-635
446,2024-04-22 15:51:53.155+02,-632
447,2024-04-22 15:51:53.159+02,-626
448,2024-04-22 15:51:53.163+02,-618
449,2024-04-22 15:51:53.167+02,-611
450,2024-04-22 15:51:53.171+02,-604
451,2024-04-22 15:51:53.175+02,-598
452,2024-04-22 15:51:53.179+02,-591
453,2024-04-22 15:51:53.183+02,-584
454,2024-04-22 15:51:53.187+02,-576
455,2024-04-22 15:51:53.191+02,-571
456,2024-04-22 15:51:53.195+02,-563
457,2024-04-22 15:51:53.199+02,-554
458,2024-04-22 15:51:53.203+02,-551
459,2024-04-22 15:51:53.207+02,-548
460,2024-04-22 15:51:53.211+02,-542
461,2024-04-22 15:51:53.215+02,-537
462,2024-04-22 15:51:53.219+02,-529
463,2024-04-22 15:51:53.223+02,-525
464,2024-04-22 15:51:53.227+02,-522
465,2024-04-22 15:51:53.231+02,-520
466,2024-04-22 15:51:53.235+02,-515
467,2024-04-22 15:51:53.239+02,-512
468,2024-04-22 15:51:53.243+02,-504
469,2024-04-22 15:51:53.247+02,-499
470,2024-04-22 15:51:53.251+02,-494
471,2024-04-22 15:51:53.255+02,-489
472,2024-04-22 15:51:53.259+02,-484
473,2024-04-22 15:51:53.263+02,-481
474,2024-04-22 15:51:53.267+02,-474
475,2024-04-22 15:51:53.271+02,-467
476,2024-04-22 15:51:53.275+02,-461
477,2024-04-22 15:51:53.279+02,-457
478,2024-04-22 15:51:53.283+02,-450
479,2024-04-22 15:51:53.287+02,-443
480,2024-04-22 15:51:53.291+02,-438
481,2024-04-22 15:51:53.295+02,-436
482,2024-04-22 15:51:53.299+02,-437
483,2024-04-22 15:51:53.303+02,-435
484,2024-04-22 15:51:53.307+02,-429
485,2024-04-22 15:51:53.311+02,-420
486,2024-04-22 15:51:53.315+02,-415
487,2024-04-22 15:51:53.319+02,-410
488,2024-04-22 15:51:53.323+02,-405
489,2024-04-22 15:51:53.327+02,-400
490,2024-04-22 15:51:53.331+02,-396
491,2024-04-22 15:51:53.335+02,-393
492,2024-04-22 15:51:53.339+02,-392
493,2024-04-22 15:51:53.343+02,-391
494,2024-04-22 15:51:53.347+02,-388
495,2024-04-22 15:51:53.351+02,-382
496,2024-04-22 15:51:53.355+02,-377
497,2024-04-22 15:51:53.359+02,-372
498,2024-04-22 15:51:53.363+02,-367
499,2024-04-22 15:51:53.367+02,-360
500,2024-04-22 15:51:53.371+02,-354
501,2024-04-22 15:51:53.375+02,-351
502,2024-04-22 15:51:53.379+02,-348
503,2024-04-22 15:51:53.383+02,-348
504,2024-04-22 15:51:53.387+02,-343
505,2024-04-22 15:51:53.391+02,-337
506,2024-04-22 15:51:53.395+02,-330
507,2024-04-22 15:51:53.399+02,-327
508,2024-04-22 15:51:53.403+02,-329
509,2024-04-22 15:51:53.407+02,-328
510,2024-04-22 15:51:53.411+02,-325
511,2024-04-22 15:51:53.415+02,-321
512,2024-04-22 15:51:53.419+02,-315
513,2024-04-22 15:51:53.423+02,-313
514,2024-04-22 15:51:53.427+02,-308
515,2024-04-22 15:51:53.431+02,-306
516,2024-04-22 15:51:53.435+02,-306
